,District No.,District Name,Location Address,Land Area in Square Miles,Home County,K-12 Enrollment Fall 2017,"Dropout Rate
 (%)",Attendance Rate,Free & Reduced Lunch Eligibility Percentage,Percent of Special Education Students,Average Teacher Salary,Teacher - Avg Yrs of Experience,Teacher - % with Advanced Degree,ACT Composite Score,No. of Students Taking the ACT,Instructional Days,Instructional Minutes,Instructional Hours,4_day_bin,county_population,zip
43,61007,Elk Point-Jefferson School District 61-7,"402 S Douglas St, Elk Point, SD  57025",215.97,Union,687,0.003,0.9603,0.213,0.1397,"43,612 ",11.6,0.218,22.7,38,172.0,64941.666666666664,1082.36111,0.0,14929.0,57025
44,5003,Elkton School District 05-3,"508 Buffalo St, Elkton, SD  57026",150.12,Brookings,372,0.011000000000000001,0.9655,0.333,0.0969,"41,786 ",14.6,0.2456,23.3,19,173.33333333333334,65958.5,1099.3083333333332,0.0,33697.0,57026
45,28002,Estelline School District 28-2,"708 Davis Ave, Estelline, SD  57234",169.4,Hamlin,267,0.0,0.9557,0.367,0.1509,"45,222 ",13.3,0.5301,,9,175.0,67755.33333333333,1129.2555533333334,0.0,5911.0,57234
46,17001,Ethan School District 17-1,"320 S 2nd St, Ethan, SD  57334",105.48,Davison,248,0.0,0.9646,0.266,0.1455,"43,705 ",11.5,0.2917,21.1,15,163.25,60977.5,1016.29167,0.25,19753.0,57334
47,44001,Eureka School District 44-1,"805 10th St, Eureka, SD  57437",617.97,McPherson_Sanborn,152,0.0,0.9446,0.368,0.2118,"41,878 ",16.7,0.0444,,9,169.0,61597.0,1026.616665,0.0,2366.0,57437
48,46002,Faith School District 46-2,"206 W 5th St, Faith, SD  57626",861.11,Meade,164,0.0,0.9655,0.323,0.1369,"41,167 ",14.4,0.3091,20.9,13,132.5,53801.333333333336,896.68889,1.0,27066.0,57626
49,24004,Faulkton Area Schools District 24-4,"1114 Court St, Faulkton, SD  57438",918.51,Faulk,305,0.009000000000000001,0.9873,0.18,0.1145,"41,363 ",11.9,0.1619,24.5,13,168.0,59977.5,999.625,0.0,2327.0,57438
50,50003,Flandreau School District 50-3,"600 W Community Dr, Flandreau, SD  57028",224.65,Moody,677,0.024,0.9481,0.468,0.1359,"40,206 ",8.2,0.2019,21.2,30,164.0,57179.6,952.993332,0.0,6496.0,57028
51,14001,Florence School District 14-1,"515 Main Ave, Florence, SD  57235",140.23,Codington,255,0.02,0.9579,0.443,0.1758,"44,327 ",16.6,0.325,23.1,10,173.0,60742.0,1012.3666666666667,0.0,27963.0,57235
52,6002,Frederick Area School District 06-2,"202 E Main St, Frederick, SD  57441",351.41,Brown,160,0.0,0.953,0.35,0.175,"43,007 ",11.6,0.0411,,9,145.33333333333334,58060.333333333336,967.6722233333334,1.0,38637.0,57441
