,District No.,District Name,Location Address,Land Area in Square Miles,Home County,K-12 Enrollment Fall 2017,"Dropout Rate
 (%)",Attendance Rate,Free & Reduced Lunch Eligibility Percentage,Percent of Special Education Students,Average Teacher Salary,Teacher - Avg Yrs of Experience,Teacher - % with Advanced Degree,ACT Composite Score,No. of Students Taking the ACT,Instructional Days,Instructional Minutes,Instructional Hours,4_day_bin,county_population,zip
124,54006,Summit School District 54-6,"400 W Sherman Ave, Summit, SD  57266",156.53,Roberts,149,0.013999999999999999,0.9509,0.631,0.1595,"39,376 ",10.5,0.2969,,5,153.0,58553.25,975.8875,1.0,10250.0,57266
125,41005,Tea Area School District 41-5,"131 N Poplar, Tea, SD  57064",22.59,Lincoln,1773,0.004,0.9684,0.183,0.1168,"45,700 ",10.3,0.3113,20.7,66,173.0,62582.5,1043.0416650000002,0.0,53147.0,57064
126,20003,Timber Lake School District 20-3,"500 Main St, Timber Lake, SD  57656",1253.91,Dewey,353,0.0,0.9641,0.465,0.1397,"48,701 ",12.7,0.1176,20.4,19,151.25,51219.0,853.6500025,0.0,5709.0,57656
127,66001,Todd County School District 66-1,"110 E Denver Dr, Mission, SD  57555",1390.39,Todd,2037,0.057,0.8207,,0.1831,"46,381 ",8.0,0.2113,15.2,61,165.35714285714286,60359.0,1005.983332857143,0.0,10016.0,57555
128,33005,Tripp-Delmont School District 33-5,"105 S Sloan St, Tripp, SD  57376",250.88,Hutchinson,151,0.048,0.9447,0.503,0.1875,"37,634 ",11.8,0.0693,,7,146.0,57039.0,950.648668,1.0,7277.0,57376
129,49006,Tri-Valley School District 49-6,"46450 252nd St, Colton, SD  57018",147.61,Minnehaha,916,0.01,0.9662,0.254,0.1539,"47,043 ",14.7,0.1597,20.1,34,172.0,62777.333333333336,1046.2888866666667,0.0,183660.0,57018
130,13001,Vermillion School District 13-1,"17 Prospect St, Vermillion, SD  57069",179.07,Clay,1216,0.009000000000000001,0.9468,0.331,0.1349,"43,913 ",14.6,0.5203,21.6,77,172.5,60124.5,1002.075,0.0,13907.0,57069
131,60006,Viborg-Hurley School District 60-6,"203 W Park Ave, Viborg, SD  57070",206.54,Turner,342,0.0,0.9519,0.33,0.1413,"40,901 ",9.6,0.1359,19.4,19,157.5,59728.5,995.475,0.75,8242.0,57070
132,11004,Wagner Community School District 11-4,"101 Walnut Ave SW, Wagner, SD  57380",329.68,Charles Mix,847,0.039,0.9395,,0.1211,"47,970 ",12.8,0.433,20.3,26,168.33333333333334,59134.333333333336,985.5722233333335,0.0,9319.0,57380
133,51005,Wall School District 51-5,"401 S Blvd W, Wall, SD  57790",1319.83,Pennington,257,0.009000000000000001,0.9517,0.358,0.0584,"47,086 ",12.7,0.1099,21.7,11,146.0,58380.0,973.0,1.0,108126.0,57790
134,6005,Warner School District 06-5,"110 1st Ave SW, Warner, SD  57479",188.99,Brown,313,0.0,0.9748,0.089,0.1118,"44,274 ",13.2,0.2088,23.0,20,169.0,61417.333333333336,1023.6222200000001,0.0,38637.0,57479
135,14004,Watertown School District 14-4,"200 NE 9th St, Watertown, SD  57201",326.16,Codington,3913,0.013000000000000001,0.9569,0.351,0.1527,"50,707 ",15.7,0.3583,22.3,209,174.5,64059.5,1067.6583325000001,0.0,27963.0,57201
136,18003,Waubay School District 18-3,"202 W School Rd, Waubay, SD  57273",199.0,Day,168,0.063,0.9261,0.702,0.1803,"41,615 ",13.1,0.35,,5,169.0,61367.666666666664,1022.7944466666667,0.0,5524.0,57273
137,14005,Waverly School District 14-5,"319 Mary Pl, Waverly, SD  57201",250.55,Codington,245,0.0,0.9634,0.38,0.2038,"44,884 ",12.7,0.25,19.6,11,174.0,63312.0,1055.2,0.0,27963.0,57201
138,18005,Webster Area School District 18-5,"102 E 9th Ave, Webster, SD  57274",491.95,Day,533,0.0,0.9589,0.221,0.1514,"43,702 ",16.4,0.2143,20.6,21,152.25,55592.5,926.541665,0.0,5524.0,57274
139,36002,Wessington Springs School District 36-2,"302 Dakota Ave N, Wessington Springs, SD  57382",745.67,Jerauld,332,0.013999999999999999,0.9582,0.202,0.1236,"41,503 ",17.2,0.3645,19.6,14,206.0,83061.42857142857,1384.357142857143,0.0,2034.0,57382
140,49007,West Central School District 49-7,"705 E 2nd St, Hartford, SD  57033",165.12,Minnehaha,1351,0.02,0.9664,0.179,0.1318,"47,731 ",14.1,0.4,21.9,89,170.0,63462.0,1057.7000000000003,0.0,183660.0,57033
141,1003,White Lake School District 01-3,"502 E Division St, White Lake, SD  57383",245.78,Aurora,115,0.0,0.9585,0.548,0.1024,"42,986 ",15.9,0.4462,,7,169.0,54270.2,904.503334,0.0,2739.0,57383
142,47001,White River School District 47-1,"501 E 3rd St, White River, SD  57579",914.15,Mellette,401,0.043,0.9413,,0.189,"41,970 ",13.7,0.162,20.1,15,151.0,61683.5,1028.058335,1.0,2062.0,57579
143,12003,Willow Lake School District 12-3,"400 Garfield Ave, Willow Lake, SD  57278",301.87,Clark,237,0.011000000000000001,0.9624,0.321,0.12,"46,094 ",12.5,0.1327,,6,163.0,56020.0,933.6666666666666,0.0,3642.0,57278
144,54007,Wilmot School District 54-7,"800 Ordway St, Wilmot, SD  57279",224.89,Roberts,220,0.0,0.957,0.536,0.1992,"39,972 ",12.1,0.0513,,7,172.0,59598.666666666664,993.31111,0.0,10250.0,57279
145,59002,Winner School District 59-2,"431 E 7th St, Winner, SD  57580",1184.79,Tripp,722,0.003,0.9406,0.457,0.144,"45,322 ",15.1,0.1597,21.1,36,149.0,58706.0,978.43333,1.0,5480.0,57580
146,2006,Wolsey-Wessington Sch District 02-6,"375 Ash St SE, Wolsey, SD  57384",401.79,Beadle,362,0.0,0.9651,0.388,0.1406,"41,838 ",9.9,0.0702,,7,153.0,57300.0,955.0000033333332,1.0,18163.0,57384
147,55004,Woonsocket School District 55-4,"101 N 2nd Ave, Woonsocket, SD  57385",219.97,McPherson_Sanborn,232,0.0,0.9621,0.401,0.102,"40,176 ",11.2,0.092,,9,170.33333333333334,58554.333333333336,975.9055566666666,0.0,2366.0,57385
148,63003,Yankton School District 63-3,"2410 West City Limits Rd, Yankton, SD  57078",216.07,Yankton,2715,0.0,0.9629,0.354,0.1722,"51,465 ",18.6,0.533,23.4,149,173.0,62502.166666666664,1041.7027799999998,0.0,22660.0,57078
