District Number,District Name,School Name,School Number,Calendar Name,Instructional Days,Instructional Minutes,Instructional Hours,Operating 4 Day
49005,Sioux Falls 49-5,Sonia Sotomayor Elementary,65,17-18 Sonia Sotomayor Elementa,172,58920,982,No
49005,Sioux Falls 49-5,Structured Teaching Program,12,17-18 Structured Teaching Prog,174,63090,1051.5,No
49005,Sioux Falls 49-5,Success Academy,39,17-18 Success Academy,174,63090,1051.5,No
49005,Sioux Falls 49-5,Summit Oaks Day Program,40,17-18 Summit Oaks Day Program,236,78450,1307.5,No
49005,Sioux Falls 49-5,Summit Oaks Residential Program,48,17-18 Summit Oaks Residential ,236,78450,1307.5,No
49005,Sioux Falls 49-5,Susan B. Anthony Elementary,66,17-18 Susan B. Anthony Element,172,58920,982,No
49005,Sioux Falls 49-5,Terry Redlin Elementary,11,17-18 Terry Redlin Elementary,172,58920,982,No
49005,Sioux Falls 49-5,VOA - Adol Treat - 73,73,17-18 VOA - Adol Treat - 73,174,32130,535.5,No
49005,Sioux Falls 49-5,Washington High School,1,17-18 JoeFoss at Washington,174,61485,1024.75,No
49005,Sioux Falls 49-5,Washington High School,1,17-18 Washington High School,174,61485,1024.75,No
49005,Sioux Falls 49-5,Whittier Middle School,8,17-18 Whittier Middle School,172,62207,1036.78333,No
49005,Sioux Falls 49-5,Whittier Middle School,8,17-18 Whittier Odyssey,172,62376,1039.6,No
5005,Sioux Valley 05-5,Sioux Valley Elementary School,2,17-18 Sioux Valley Elementary ,173,63268,1054.46667,No
5005,Sioux Valley 05-5,Sioux Valley High School,1,17-18 Sioux Valley High School,173,65555,1092.58333,No
