District Number,District Name,School Name,School Number,Calendar Name,Instructional Days,Instructional Minutes,Instructional Hours,Operating 4 Day
43007,McCook Central 43-7,Golden View Colony Elementary,4,17-18 Golden View Colony Eleme,169,60340,1005.66667,No
43007,McCook Central 43-7,McCook Central Elementary,2,17-18 McCook Central Elementar,168,59980,999.66667,No
43007,McCook Central 43-7,McCook Central Hi Sch,1,17-18 McCook Central Hi Sch,168,67927,1132.11667,No
43007,McCook Central 43-7,McCook Central Middle School,3,17-18 McCook Central Middle Sc,168,67927,1132.11667,No
15001,McIntosh 15-1,McIntosh Elementary,2,17-18 McIntosh Elementary,164,60920,1015.33333,No
15001,McIntosh 15-1,McIntosh High School,1,17-18 McIntosh High School,164,60920,1015.33333,No
15001,McIntosh 15-1,McIntosh Jr High,3,17-18 McIntosh Jr High,164,60920,1015.33333,No
15002,McLaughlin 15-2,McLaughlin Elementary,2,17-18 McLaughlin Elementary,144,62927,1048.78333,Yes
15002,McLaughlin 15-2,McLaughlin High School,1,17-18 McLaughlin High School,144,61926,1032.1,Yes
15002,McLaughlin 15-2,McLaughlin Middle School,3,17-18 McLaughlin Middle School,144,61956,1032.6,Yes
46001,Meade 46-1,Atall Elem,17,17-18 Atall Elem,151,60158,1002.63333,No
46001,Meade 46-1,Elm Springs Elementary,13,17-18 Elm Springs Elementary,152,60158,1002.63333,No
46001,Meade 46-1,Enning/Union Center Elem,9,17-18 Enning/Union Center Elem,151,60158,1002.63333,No
46001,Meade 46-1,Hereford Elementary,8,17-18 Hereford Elementary,151,60158,1002.63333,No
46001,Meade 46-1,Opal Elementary,15,17-18 Opal Elementary,151,60158,1002.63333,No
46001,Meade 46-1,Piedmont Valley Elementary,5,17-18 Piedmont Valley Elementa,169,64076,1067.93333,No
46001,Meade 46-1,Sturgis Brown HS,1,17-18 Sturgis Brown HS,169,61560,1026,No
46001,Meade 46-1,Sturgis Elementary,3,17-18 Sturgis Elementary,169,64056,1067.6,No
46001,Meade 46-1,Sturgis Intermediate School,6,17-18 Sturgis Intermediate Sch,169,64645,1077.41667,No
46001,Meade 46-1,Sturgis Williams MS,2,17-18 Sturgis Williams MS,169,63504,1058.4,No
46001,Meade 46-1,Whitewood Elementary,4,17-18 Whitewood Elementary,169,63261,1054.35,No
33002,Menno 33-2,Jamesville Colony Elementary,3,17-18 Jamesville Colony Elemen,170,59515,991.91667,No
33002,Menno 33-2,Maxwell Colony Elementary,4,17-18 Maxwell Colony Elementar,169,59075,984.58333,No
33002,Menno 33-2,Menno Elementary,2,17-18 Menno Elementary,171,60800,1013.33333,No
33002,Menno 33-2,Menno High School,1,17-18 Menno High School,174,64427,1073.78333,No
33002,Menno 33-2,Menno Middle School,5,17-18 Menno Middle School,174,64427,1073.78333,No
25004,Milbank 25-4,Koch Elementary,3,17-18 Koch Elem Grades 1-3,174,62714,1045.23333,No
25004,Milbank 25-4,Koch Elementary,3,17-18 Koch Elem Grades 4-5,174,62714,1045.23333,No
25004,Milbank 25-4,Koch Elementary,3,17-18 Koch Elem Kindergarten,174,62714,1045.23333,No
25004,Milbank 25-4,Milbank High School,1,17-18 Milbank High School,174,63222,1053.7,No
25004,Milbank 25-4,Milbank Middle School,2,17-18 Milbank Middle School,174,63729,1062.15,No
29004,Miller,Miller Elementary School,2,17-18 Miller Elementary School,160,58660,977.66667,No
29004,Miller,Miller High School,1,17-18 Miller High School,160,59596,993.26667,No
29004,Miller,Miller Junior High,4,17-18 Miller Junior High,160,59596,993.26667,No
29004,Miller,Millerdale Colony Elem,11,17-18 Millerdale Colony Elem,160,58660,977.66667,No
17002,Mitchell 17-2,Abbott House Elementary,6,17-18 Abbott House Elementary,189,79380,1323,No
17002,Mitchell 17-2,Abbott House HS,7,17-18 Abbott House HS,189,79380,1323,No
17002,Mitchell 17-2,Gertie Belle Rogers Elem,4,17-18 Gertie Belle Rogers Elem,174,69216,1153.6,No
17002,Mitchell 17-2,L B Williams Elementary,3,17-18 L B Williams Elementary,175,69516,1158.6,No
17002,Mitchell 17-2,Longfellow Elementary,5,17-18 Longfellow Elementary,175,69546,1159.1,No
17002,Mitchell 17-2,Mitchell High School,1,17-18 Mitchell High School,175,67110,1118.5,No
17002,Mitchell 17-2,Mitchell Middle School,2,17-18 Mitchell Middle School,175,67602,1126.7,No
17002,Mitchell 17-2,Rockport Colony Elem,10,17-18 Rockport Colony Elem,174,68730,1145.5,No
17002,Mitchell 17-2,Rosedale Colony Elem,11,17-18 Rosedale Colony Elem,176,69520,1158.66667,No
62006,Mobridge-Pollock 62-6,Freeman Davis Elementary,3,17-18 Freeman Davis Elementary,172,60140,1002.33333,No
62006,Mobridge-Pollock 62-6,Mobridge High School,1,17-18 Mobridge Pollock High Sc,172,65379,1089.65,No
62006,Mobridge-Pollock 62-6,Mobridge Middle School,2,17-18 Mobridge Middle School,172,65379,1089.65,No
62006,Mobridge-Pollock 62-6,Mobridge Upper Elementary,4,17-18 Mobridge Upper Elem,172,62168,1036.13333,No
43002,Montrose 43-2,Montrose Elementary School,2,17-18 Montrose Elementary Scho,169,60148,1002.46667,No
43002,Montrose 43-2,Montrose High School,1,17-18 Montrose High School,169,62854,1047.56667,No
43002,Montrose 43-2,Montrose Middle School,3,Montrose Middle School 17-18,169,62854,1047.56667,No
43002,Montrose 43-2,Orland Colony,4,17-18 Orland Colony,171,60776,1012.93333,No
17003,Mount Vernon 17-3,Mount Vernon Elementary,2,17-18 Mount Vernon Elementary,169,59585,993.08333,No
17003,Mount Vernon 17-3,Mount Vernon High School,1,17-18 Mount Vernon High School,169,62995,1049.91667,No
17003,Mount Vernon 17-3,Mount Vernon MS,3,17-18 Mount Vernon MS,169,62810,1046.83333,No
51003,New Underwood 51-3,New Underwood Elem,2,17-18 New Underwood Elem,147,62094,1034.9,Yes
51003,New Underwood 51-3,New Underwood Hi Sch,1,17-18 New Underwood Hi Sch,147,61996,1033.26667,Yes
51003,New Underwood 51-3,New Underwood Jr Hi,4,17-18 New Underwood Jr Hi,147,62094,1034.9,Yes
9002,Newell 09-2,Newell Elem,2,17-18 Newell Elem,145,55290,921.5,Yes
9002,Newell 09-2,Newell High School,1,17-18 Newell High School,145,58765,979.41667,Yes
9002,Newell 09-2,Newell Middle Sch,4,17-18 Newell Middle Sch,145,58765,979.41667,Yes
56007,Northwestern Area 56-7,Northwestern Elementary,4,17-18 Northwestern Elementary,164,59860,997.66667,No
56007,Northwestern Area 56-7,Northwestern High School,1,17-18 Northwestern High School,164,62562,1042.7,No
56007,Northwestern Area 56-7,Northwestern Middle School,2,17-18 Northwestern Middle Scho,164,59815,996.91667,No
23003,Oelrichs 23-3,Oelrichs Elem,2,17-18 Oelrichs Elem,164,62772,1046.2,No
23003,Oelrichs 23-3,Oelrichs High School,1,17-18 Oelrichs High School,163,59742,995.7,No
